"TIME"," 1-REF"
000:00:16.500,-27.56
000:00:16.525,-28.24
000:00:16.550,-22.82
000:00:16.575,-16.64
000:00:16.600,-21.53
000:00:16.625,-16.87
000:00:16.650,-14.58
000:00:16.675,-13.66
000:00:16.700,-15.42
000:00:16.725,-7.94
000:00:16.750,-3.82
000:00:16.775,-17.94
000:00:16.800,-9.69
000:00:16.825, 4.50
000:00:16.850, 5.42
000:00:16.875,-7.94
000:00:16.900,-21.76
000:00:16.925,-5.95
000:00:16.950, 8.02
000:00:16.975,-5.73
000:00:17.000,-20.84
000:00:17.025,-15.42
000:00:17.050, 1.37
000:00:17.075,-5.50
000:00:17.100,-20.53
000:00:17.125,-5.04
000:00:17.150,13.97
000:00:17.175,-0.99
000:00:17.200,-5.88
000:00:17.225,-1.15
000:00:17.250, 4.73
000:00:17.275,-5.95
000:00:17.300,-17.56
000:00:17.325,-11.53
000:00:17.350, 7.94
000:00:17.375,-0.69
000:00:17.400,-8.24
000:00:17.425,-4.05
000:00:17.450,-3.59
000:00:17.475,-10.99
000:00:17.500,-8.93
000:00:17.525,-8.78
000:00:17.550, 1.60
000:00:17.575,-5.11
000:00:17.600,-30.61
000:00:17.625,-39.77
000:00:17.650,-30.46
000:00:17.675,-21.76
000:00:17.700,-10.69
000:00:17.725,-8.55
000:00:17.750,-2.14
000:00:17.775, 5.73
000:00:17.800,18.47
000:00:17.825,14.81
000:00:17.850,10.99
000:00:17.875, 6.03
000:00:17.900,-1.83
000:00:17.925,-1.30
000:00:17.950,15.34
000:00:17.975,12.21
000:00:18.000, 1.98
000:00:18.025,-6.87
000:00:18.050,-4.43
000:00:18.075,-5.80
000:00:18.100, 1.07
000:00:18.125,-7.71
000:00:18.150, 4.05
000:00:18.175, 7.94
000:00:18.200, 3.44
000:00:18.225,-3.44
000:00:18.250, 6.18
000:00:18.275, 3.28
000:00:18.300,-10.76
000:00:18.325,-3.66
000:00:18.350,14.96
000:00:18.375,15.19
000:00:18.400,-3.28
000:00:18.425,-1.37
000:00:18.450,19.31
000:00:18.475,17.48
000:00:18.500, 1.98
000:00:18.525,-8.63
000:00:18.550, 2.98
000:00:18.575, 5.42
000:00:18.600, 2.98
000:00:18.625,-4.89
000:00:18.650, 4.43
000:00:18.675, 7.33
000:00:18.700, 1.83
000:00:18.725,-8.47
000:00:18.750,-3.59
000:00:18.775, 3.82
000:00:18.800,-7.40
000:00:18.825,-8.78
000:00:18.850, 1.60
000:00:18.875, 3.89
000:00:18.900, 7.79
000:00:18.925, 0.99
000:00:18.950, 6.18
000:00:18.975,10.46
000:00:19.000, 4.43
000:00:19.025,-1.60
000:00:19.050,10.61
000:00:19.075,19.01
000:00:19.100,12.67
000:00:19.125,-3.44
000:00:19.150,-4.27
000:00:19.175, 0.00
000:00:19.200,-0.92
000:00:19.225,-5.19
000:00:19.250, 6.87
000:00:19.275,23.74
000:00:19.300,10.61
000:00:19.325, 1.37
000:00:19.350, 7.25
000:00:19.375,19.01
000:00:19.400,21.37
000:00:19.425, 8.32
000:00:19.450, 5.04
000:00:19.475,17.71
000:00:19.500,10.46
000:00:19.525, 0.92
000:00:19.550, 2.60
000:00:19.575,22.75
000:00:19.600,16.72
000:00:19.625, 0.08
000:00:19.650, 1.45
000:00:19.675,22.52
000:00:19.700,13.97
000:00:19.725, 2.21
000:00:19.750,-2.82
000:00:19.775, 1.60
000:00:19.800,10.84
000:00:19.825, 9.01
000:00:19.850, 8.17
000:00:19.875,10.69
000:00:19.900, 0.61
000:00:19.925,-8.24
000:00:19.950, 1.15
000:00:19.975,22.14
000:00:20.000,21.91
000:00:20.025,-10.84
000:00:20.050,-23.44
000:00:20.075, 9.08
000:00:20.100,14.43
000:00:20.125,-2.37
000:00:20.150,-16.34
000:00:20.175,-4.20
000:00:20.200, 8.09
000:00:20.225, 3.21
000:00:20.250,-10.23
000:00:20.275,-8.17
000:00:20.300,-5.57
000:00:20.325,-14.43
000:00:20.350,-22.52
000:00:20.375,-6.95
000:00:20.400,-1.45
000:00:20.425,-4.20
000:00:20.450,-17.79
000:00:20.475,-14.73
000:00:20.500,-8.70
000:00:20.525,-10.08
000:00:20.550,-11.22
000:00:20.575, 5.57
000:00:20.600, 4.05
000:00:20.625,-3.21
000:00:20.650,-2.75
000:00:20.675, 5.95
000:00:20.700, 2.90
000:00:20.725, 1.91
000:00:20.750, 7.71
000:00:20.775,12.98
000:00:20.800, 9.92
000:00:20.825, 0.38
000:00:20.850,-8.17
000:00:20.875,-9.54
000:00:20.900,-1.83
000:00:20.925, 4.43
000:00:20.950,-3.82
000:00:20.975,-7.25
000:00:21.000,-0.15
000:00:21.025,-2.60
000:00:21.050,-6.95
000:00:21.075,-10.38
000:00:21.100,-7.79
000:00:21.125,-12.21
000:00:21.150,-7.33
000:00:21.175, 1.15
000:00:21.200, 3.59
000:00:21.225,-17.63
000:00:21.250,-28.40
000:00:21.275,-13.44
000:00:21.300, 1.83
000:00:21.325,-10.23
000:00:21.350,-30.31
000:00:21.375,-20.99
000:00:21.400,-5.11
000:00:21.425,-14.50
000:00:21.450,-44.58
000:00:21.475,-74.43
000:00:21.500,-60.92
000:00:21.525,-43.74
000:00:21.550,-48.78
000:00:21.575,-55.04
000:00:21.600,-34.73
000:00:21.625,-22.37
000:00:21.650,-25.50
000:00:21.675,-34.66
000:00:21.700,-24.43
000:00:21.725,-10.08
000:00:21.750,26.79
000:00:21.775,114.81
000:00:21.800,182.67
000:00:21.825,169.92
000:00:21.850,115.65
000:00:21.875,66.79
000:00:21.900,48.32
000:00:21.925,38.32
000:00:21.950,20.00
000:00:21.975, 1.45
000:00:22.000,-1.53
000:00:22.025, 2.52
000:00:22.050,-11.07
000:00:22.075,-21.45
000:00:22.100,-1.76
000:00:22.125,11.45
000:00:22.150,-2.67
000:00:22.175,-19.24
000:00:22.200,-2.82
000:00:22.225,11.22
000:00:22.250, 3.97
000:00:22.275,-14.58
000:00:22.300,-7.63
000:00:22.325, 3.51
000:00:22.350, 5.19
000:00:22.375,-5.80
000:00:22.400, 1.98
000:00:22.425, 8.78
000:00:22.450, 2.29
000:00:22.475,-6.49
000:00:22.500,10.38
000:00:22.525,28.47
000:00:22.550, 5.88
000:00:22.575,-13.21
000:00:22.600, 3.97
000:00:22.625,18.78
000:00:22.650, 3.82
000:00:22.675,-5.42
000:00:22.700,-11.37
000:00:22.725,-6.56
000:00:22.750,10.38
000:00:22.775,12.52
000:00:22.800, 4.50
000:00:22.825,-4.58
000:00:22.850,-0.61
000:00:22.875, 9.24
000:00:22.900, 7.79
000:00:22.925,-7.10
000:00:22.950,-15.80
000:00:22.975,-1.30
000:00:23.000, 8.55
000:00:23.025,20.15
000:00:23.050,-1.53
000:00:23.075,-22.52
000:00:23.100,-6.64
000:00:23.125, 3.66
000:00:23.150,-7.86
000:00:23.175,-18.70
000:00:23.200,-21.07
000:00:23.225,-9.01
000:00:23.250, 2.21
000:00:23.275, 1.45
000:00:23.300,-11.37
000:00:23.325,-21.22
000:00:23.350,-13.82
000:00:23.375,-6.87
000:00:23.400,-14.81
000:00:23.425,-13.44
000:00:23.450,-4.66
000:00:23.475,-14.58
000:00:23.500,-23.28
000:00:23.525,-13.59
000:00:23.550,-7.56
000:00:23.575,-1.30
000:00:23.600, 2.67
000:00:23.625, 1.07
000:00:23.650, 1.22
000:00:23.675,-0.76
000:00:23.700,-0.31
000:00:23.725,-1.60
000:00:23.750,-8.93
000:00:23.775,-17.02
000:00:23.800,-28.78
000:00:23.825,-9.77
000:00:23.850, 4.43
000:00:23.875,-23.97
000:00:23.900,-32.21
000:00:23.925,-13.59
000:00:23.950,-2.67
000:00:23.975,-6.64
000:00:24.000,-15.19
000:00:24.025,-0.53
000:00:24.050,-3.05
000:00:24.075,-18.85
000:00:24.100,-12.75
000:00:24.125,-0.15
000:00:24.150,-0.15
000:00:24.175, 2.52
000:00:24.200,-6.18
000:00:24.225, 0.46
000:00:24.250,10.53
000:00:24.275,-10.84
000:00:24.300,-13.89
000:00:24.325, 9.62
000:00:24.350,11.15
000:00:24.375,-8.63
000:00:24.400,-15.19
000:00:24.425, 1.91
000:00:24.450, 0.92
000:00:24.475,-12.14
000:00:24.500,-9.24
000:00:24.525, 4.66
000:00:24.550,21.22
000:00:24.575, 5.73
000:00:24.600,-13.66
000:00:24.625,-1.37
000:00:24.650,17.94
000:00:24.675, 6.11
000:00:24.700,-2.60
000:00:24.725,-1.68
000:00:24.750,11.30
000:00:24.775, 8.93
000:00:24.800, 1.83
000:00:24.825,-2.98
000:00:24.850,-10.92
000:00:24.875, 4.66
000:00:24.900, 0.76
000:00:24.925,-17.56
000:00:24.950, 2.29
000:00:24.975, 4.43
000:00:25.000,-3.89
000:00:25.025,-1.30
000:00:25.050,19.31
000:00:25.075, 5.80
000:00:25.100,-3.66
000:00:25.125, 0.46
000:00:25.150, 9.92
000:00:25.175, 1.37
000:00:25.200,-6.03
000:00:25.225, 4.27
000:00:25.250,19.77
000:00:25.275, 5.04
000:00:25.300,-7.40
000:00:25.325, 5.34
000:00:25.350,24.43
000:00:25.375, 4.12
000:00:25.400,-3.59
000:00:25.425,-1.60
000:00:25.450, 9.77
000:00:25.475,17.79
000:00:25.500, 2.29
000:00:25.525,-4.12
000:00:25.550,30.76
000:00:25.575,94.50
000:00:25.600,123.66
000:00:25.625,78.63
000:00:25.650,44.50
000:00:25.675,53.89
000:00:25.700,33.97
000:00:25.725,-9.85
000:00:25.750,-25.27
000:00:25.775,-18.63
000:00:25.800,-18.02
000:00:25.825,-39.62
000:00:25.850,-62.98
000:00:25.875,-39.08
000:00:25.900,-13.21
000:00:25.925,-14.50
000:00:25.950,-18.02
000:00:25.975,-25.34
000:00:26.000,-27.71
000:00:26.025,-30.92
000:00:26.050,-16.87
000:00:26.075,-3.05
000:00:26.100,-15.50
000:00:26.125,-27.33
000:00:26.150,-17.10
000:00:26.175, 4.58
000:00:26.200, 5.27
000:00:26.225,-17.63
000:00:26.250,-18.40
000:00:26.275,-6.18
000:00:26.300,-9.31
000:00:26.325,-21.22
000:00:26.350,-12.44
000:00:26.375, 0.99
000:00:26.400,-13.89
000:00:26.425,-31.53
000:00:26.450,-13.36
000:00:26.475, 9.31
000:00:26.500, 3.66
000:00:26.525,-3.59
000:00:26.550,-2.75
000:00:26.575,-9.16
000:00:26.600,-13.05
000:00:26.625,-12.14
000:00:26.650,-6.18
000:00:26.675,13.13
000:00:26.700, 7.48
000:00:26.725,-13.36
000:00:26.750,-13.05
000:00:26.775, 5.27
000:00:26.800,-4.35
000:00:26.825,-12.37
000:00:26.850,-7.10
000:00:26.875,10.38
000:00:26.900, 3.59
000:00:26.925,-4.66
000:00:26.950, 5.95
000:00:26.975,16.87
000:00:27.000,-2.75
000:00:27.025,-1.15
000:00:27.050,24.12
000:00:27.075,30.92
000:00:27.100,27.48
000:00:27.125,71.98
000:00:27.150,143.05
000:00:27.175,177.63
000:00:27.200,150.00
000:00:27.225,91.30
000:00:27.250,58.24
