TIME, 1-REF
000:00:08.350,-14.58
000:00:08.375,-2.75
000:00:08.400,11.22
000:00:08.425,15.04
000:00:08.450,25.42
000:00:08.475,12.82
000:00:08.500,-6.11
000:00:08.525,-5.95
000:00:08.550,13.05
000:00:08.575,1.98
000:00:08.600,-8.32
000:00:08.625,-1.98
000:00:08.650,7.86
000:00:08.675,-4.43
000:00:08.700,-7.18
000:00:08.725,-3.28
000:00:08.750,16.72
000:00:08.775,14.81
000:00:08.800,10.84
000:00:08.825,0.15
000:00:08.850,-2.14
000:00:08.875,-8.09
000:00:08.900,-0.23
000:00:08.925,4.58
000:00:08.950,3.89
000:00:08.975,-2.9
000:00:09.000,-10.38
000:00:09.025,-17.94
000:00:09.050,-12.06
000:00:09.075,5.8
000:00:09.100,2.06
000:00:09.125,-24.73
000:00:09.150,-32.82
000:00:09.175,-11.37
000:00:09.200,8.32
000:00:09.225,7.1
000:00:09.250,2.44
000:00:09.275,-0.38
000:00:09.300,-1.91
000:00:09.325,-8.09
000:00:09.350,-10.38
000:00:09.375,-6.79
000:00:09.400,8.63
000:00:09.425,6.11
000:00:09.450,-3.66
000:00:09.475,-10.15
000:00:09.500,-0.23
000:00:09.525,5.27
000:00:09.550,3.97
000:00:09.575,-2.21
000:00:09.600,-4.96
000:00:09.625,0.69
000:00:09.650,4.43
000:00:09.675,7.1
000:00:09.700,4.12
000:00:09.725,-10.46
000:00:09.750,-21.3
000:00:09.775,-4.27
000:00:09.800,15.04
000:00:09.825,14.43
000:00:09.850,12.98
000:00:09.875,8.7
000:00:09.900,1.53
000:00:09.925,-4.12
000:00:09.950,6.79
000:00:09.975,7.56
000:00:10.000,-1.45
000:00:10.025,-3.89
000:00:10.050,-0.69
000:00:10.075,4.35
000:00:10.100,3.51
000:00:10.125,0.76
000:00:10.150,-2.9
000:00:10.175,-5.11
000:00:10.200,-1.68
000:00:10.225,-0.84
000:00:10.250,-4.58
000:00:10.275,-2.37
000:00:10.300,3.05
000:00:10.325,-8.02
000:00:10.350,-13.05
000:00:10.375,2.37
000:00:10.400,11.91
000:00:10.425,6.95
000:00:10.450,-0.08
000:00:10.475,-12.21
000:00:10.500,-8.47
000:00:10.525,6.64
000:00:10.550,8.7
000:00:10.575,14.58
000:00:10.600,15.19
000:00:10.625,-1.68
